i,sigma_hat,m_hat,alpha_hat,sigmaLogError,mLogError,alphaLogError
2,3.60E-02,2.189093738,0.807666328,-4.271260631,-1.665512418,-1.648523542
3,0.116772816,2.190078757,2.211180919,-2.706459246,-1.660316783,0.19159585
4,0.11434299,2.190674824,2.292848445,-2.743527298,-1.657185795,0.256847881
5,0.101002458,2.190781098,1.953026968,-2.975881461,-1.65662859,-4.81E-02
6,9.04E-02,2.190818637,1.508414981,-3.209663685,-1.656431846,-0.676457273
7,9.45E-02,2.191055117,1.678847903,-3.111836474,-1.655193321,-0.387358178
8,8.74E-02,2.191240678,1.416315759,-3.285141998,-1.65422255,-0.876311271
9,8.26E-02,2.191317829,1.336328445,-3.422581391,-1.653819207,-1.08966708
10,7.82E-02,2.191405794,1.246882053,-3.567240487,-1.653359527,-1.398844575
11,7.42E-02,2.601114044,1.123088596,-3.72313432,-0.508970605,-2.094850892
12,7.16E-02,2.601203151,1.099681252,-3.834010617,-0.508822381,-2.305777661
13,8.29E-02,2.191541857,1.309085745,-3.413254484,-1.652648922,-1.174136549
14,7.97E-02,2.60211287,1.186250211,-3.517794245,-0.50731036,-1.680664291
15,8.35E-02,2.191919085,1.298255512,-3.396077544,-1.650681426,-1.209804737
16,8.40E-02,2.191726014,1.347525872,-3.380586842,-1.651687936,-1.056916165
17,8.27E-02,2.603991242,1.177282081,-3.419911596,-0.504195581,-1.730013136
18,8.04E-02,2.998990428,1.138240123,-3.494307821,-1.01E-03,-1.978763088
19,7.81E-02,2.999477071,1.063869775,-3.573238984,-5.23E-04,-2.75090904
20,7.80E-02,2.999456982,1.098494077,-3.575579696,-5.43E-04,-2.317758863
21,8.04E-02,2.604205249,1.173642355,-3.49354767,-0.503841322,-1.750757527
22,7.84E-02,3.000039481,1.124025795,-3.561893105,3.95E-05,-2.087265714
23,7.73E-02,3.000196852,1.124731819,-3.600753613,1.97E-04,-2.081589298
24,7.82E-02,2.999414357,1.168207185,-3.568982087,-5.86E-04,-1.782558817
25,7.77E-02,2.604423599,1.181746388,-3.586306641,-0.503480005,-1.705143037
26,7.71E-02,2.60437313,1.18954564,-3.608834455,-0.503563506,-1.663125441
27,7.56E-02,3.002489775,1.123994018,-3.663597973,2.49E-03,-2.087521958
28,7.44E-02,3.390231056,1.055185247,-3.71178034,0.32946996,-2.897059632
29,7.32E-02,3.390596362,1.040748191,-3.761731528,0.329732693,-3.200343823
30,7.59E-02,3.003510262,1.103303062,-3.654413794,3.50E-03,-2.270088261
31,7.45E-02,3.391074394,1.066573413,-3.707986975,0.330076394,-2.709449989
32,7.54E-02,3.3898959,1.102215459,-3.672956088,0.329228852,-2.280672354
33,7.42E-02,3.391635403,1.074733622,-3.723046854,0.330479605,-2.593825192
34,7.31E-02,3.392601664,1.056923914,-3.769617534,0.331173698,-2.86603974
35,7.31E-02,3.392005547,1.073948202,-3.769669475,0.330745547,-2.6043904
36,7.21E-02,3.394646763,1.024456127,-3.811152091,0.332641167,-3.710874506
37,7.31E-02,3.393513415,1.058037228,-3.768485872,0.331828195,-2.846670608
38,7.20E-02,3.395195091,1.030574156,-3.815626459,0.333034256,-3.487600208
39,7.32E-02,3.393431431,1.06556271,-3.764895122,0.33176936,-2.724748192
40,7.22E-02,3.395507888,1.041837907,-3.809393734,0.333258427,-3.173952493
41,7.31E-02,3.393177649,1.072974641,-3.76672604,0.331587216,-2.617643277
42,7.24E-02,3.394153649,1.067257125,-3.7981674,0.332287528,-2.699232324
43,7.21E-02,3.393707076,1.072776358,-3.813269284,0.331967158,-2.620364129
44,7.14E-02,3.394851804,1.066970299,-3.84443885,0.332788176,-2.703506054
45,7.15E-02,3.392891555,1.080491726,-3.841150639,0.331381842,-2.519600876
46,7.06E-02,3.39839197,1.048639553,-3.880541489,0.335322983,-3.023318236
47,7.00E-02,3.780238694,1.041828414,-3.912953567,0.576747453,-3.174179411
48,6.96E-02,3.780050737,1.045047115,-3.930241607,0.576641868,-3.100046333
49,6.91E-02,3.780940678,1.040952932,-3.959215007,0.577141695,-3.195331881
50,6.91E-02,3.398591333,1.052178777,-3.956979655,0.335465539,-2.95307943
51,6.84E-02,3.782321154,1.037955848,-3.995713408,0.577916534,-3.271331694
52,6.93E-02,3.396928028,1.062748568,-3.946912862,0.33427556,-2.768619529
53,6.99E-02,3.004503097,1.082853965,-3.915670479,4.49E-03,-2.490675682
54,7.05E-02,2.993364367,1.102172744,-3.88640671,-6.66E-03,-2.281090331
55,7.20E-02,3.68942612,1.132692073,-3.816549313,0.524388897,-2.019724072
56,7.23E-02,4.021442602,1.146937115,-3.802792125,0.703811416,-1.917750575
57,7.41E-02,3.855504537,1.180868048,-3.723538357,0.618156646,-1.709987528
58,7.37E-02,3.85874438,1.177608682,-3.74360453,0.619901195,-1.728172567
59,7.38E-02,4.235762084,1.188262098,-3.737934644,0.804582147,-1.669920148
60,7.38E-02,4.230638545,1.195520317,-3.739267103,0.802287888,-1.632090981
61,7.33E-02,4.23301432,1.190842239,-3.760321705,0.803352386,-1.656308163
62,7.26E-02,3.858803508,1.176283223,-3.789757058,0.619933005,-1.735663354
63,7.86E-02,4.218079893,1.241221079,-3.553732774,0.796641909,-1.422041427
64,7.80E-02,4.218219401,1.232408325,-3.575844612,0.796704803,-1.459259434
65,7.74E-02,4.220277776,1.20217673,-3.597582329,0.797632312,-1.598613064
66,7.69E-02,3.894616255,1.167888777,-3.614190642,0.639016314,-1.784453563
67,7.63E-02,3.811548207,1.155764631,-3.638610676,0.594181843,-1.859409184
68,7.56E-02,3.435409343,1.141271775,-3.663905781,0.361450065,-1.957069761
69,7.50E-02,3.04214887,1.124693788,-3.689491866,4.13E-02,-2.081894239
70,7.45E-02,3.438355871,1.120514209,-3.708562512,0.363500705,-2.115987612
71,7.44E-02,3.042899701,1.126476335,-3.712592178,4.20E-02,-2.067700061
72,7.38E-02,3.43979645,1.115029474,-3.737016516,0.36450175,-2.162566884
73,7.50E-02,3.437944051,1.139150262,-3.68916064,0.363214351,-1.972200907
74,7.46E-02,3.439098207,1.138333656,-3.703448159,0.364016672,-1.978086713
75,7.41E-02,2.214170776,1.131269218,-3.72579223,-1.540981563,-2.030504964
76,7.40E-02,4.219514317,1.094271262,-3.729808116,0.797288396,-2.361578887
77,7.44E-02,3.834873706,1.108303317,-3.713480347,0.606975654,-2.222819496
78,7.39E-02,3.835596611,1.102504495,-3.733289526,0.607369557,-2.277848625
79,7.34E-02,4.221477893,1.091333512,-3.756402582,0.798172692,-2.393237507
80,7.29E-02,4.222108768,1.085022133,-3.776919738,0.798456641,-2.464843663
81,7.26E-02,4.222401708,1.084975329,-3.790125033,0.798588461,-2.465394306
82,7.21E-02,4.22337069,1.074547352,-3.813231915,0.799024373,-2.596320759
83,7.20E-02,4.223325687,1.079492829,-3.816966951,0.799004132,-2.532088459
84,7.16E-02,4.224036376,1.07465447,-3.836313405,0.799323732,-2.594884879
85,7.15E-02,4.223858971,1.079220434,-3.840341259,0.799243962,-2.535521004
86,7.29E-02,3.834902087,1.103334774,-3.777763121,0.606991121,-2.269781333
87,7.25E-02,4.225778205,1.08270199,-3.796313826,0.80010661,-2.492511611
88,7.23E-02,4.225712335,1.084944477,-3.804737742,0.800077015,-2.465757447
89,7.18E-02,4.227487626,1.077527212,-3.825414142,0.800874325,-2.557126287
90,7.17E-02,4.227276576,1.080376401,-3.832391315,0.800779573,-2.521034669
91,7.16E-02,4.226541086,1.084847934,-3.83561738,0.800449299,-2.466894641
92,7.12E-02,4.228568174,1.078805474,-3.855278297,0.801359305,-2.540772816
93,7.08E-02,4.22974608,1.07536251,-3.872368277,0.801887714,-2.585445336
94,7.04E-02,4.231115617,1.070822576,-3.890816148,0.802501737,-2.647577466
95,7.00E-02,4.615490425,1.062911788,-3.912164611,0.961451623,-2.766021731
96,7.00E-02,4.23218367,1.068485033,-3.911476401,0.80298033,-2.681140058
97,7.11E-02,4.225662858,1.087684076,-3.859482114,0.800054785,-2.434014974
98,7.09E-02,4.225352746,1.088964152,-3.868426069,0.799915441,-2.419521776
99,7.06E-02,4.227681427,1.08621586,-3.884065589,0.800961326,-2.45090113
100,7.04E-02,4.226448918,1.088765996,-3.890068651,0.800407903,-2.421751626
101,7.01E-02,4.230031884,1.084436223,-3.907710981,0.802015883,-2.471758788
102,6.97E-02,4.233645503,1.079086243,-3.926542908,0.803635005,-2.537216338
103,6.96E-02,4.232754459,1.081445641,-3.932630926,0.803236007,-2.507819463
104,6.93E-02,4.234662933,1.079071056,-3.947851081,0.804090404,-2.537408389
105,6.89E-02,4.625362697,1.064739189,-3.967799318,0.965219057,-2.737388561
106,6.85E-02,4.627885092,1.05873548,-3.987607372,0.966179375,-2.834711306
107,6.82E-02,4.632684781,1.042391698,-4.004974369,0.968004155,-3.160802733
108,6.78E-02,4.634759573,1.032156173,-4.026532476,0.968791934,-3.437150836
109,6.75E-02,4.636536378,1.020989288,-4.047916724,0.969466078,-3.863743046
110,6.71E-02,4.637400787,1.014980355,-4.068401008,0.969793882,-4.201015609
111,6.73E-02,4.636699197,1.022129526,-4.059013807,0.969527831,-3.810842565
112,6.73E-02,4.635879107,1.027893731,-4.054385927,0.969216753,-3.579353308
113,6.86E-02,4.630771275,1.046956686,-3.985343753,0.967277064,-3.058529668
114,6.89E-02,4.626682958,1.055460663,-3.971154621,0.965721817,-2.892081293
115,6.85E-02,4.630281402,1.050202473,-3.989546967,0.967090837,-2.991690989
116,6.83E-02,4.630601818,1.050234916,-4.000192316,0.967212648,-2.991044957
117,6.87E-02,4.623659696,1.060240731,-3.978669373,0.964570174,-2.809406554
118,6.85E-02,4.623862499,1.060496746,-3.988540137,0.964647469,-2.805165697
119,6.82E-02,4.629447966,1.055005234,-4.007027559,0.966773925,-2.900326928
