 sigma_hat,alpha_hat,m_hat,sigma_hatError,alpha_hatError,m_hatError                                  
   9.7315746012232758E-003 ,  0.67062197705141202      ,  0.65792049031282018      ,   9.7315746012232758E-003 ,  0.67062197705141202      ,  -32542.342079509686     
   1.0016511128947244E-002 ,  0.70238531808787430      ,  0.59532296709532850      ,   1.0016511128947244E-002 ,  0.70238531808787430      ,  -32542.404677032904     
   1.0071464787461971E-002 ,  0.72067915400703830      ,  0.56401487436006958      ,   1.0071464787461971E-002 ,  0.72067915400703830      ,  -32542.435985125641     
   9.9417541202600594E-003 ,  0.68622554351981224      ,  0.62773696769673437      ,   9.9417541202600594E-003 ,  0.68622554351981224      ,  -32542.372263032303     
   9.9838666077139947E-003 ,  0.72775537307303506      ,  0.56253996600966427      ,   9.9838666077139947E-003 ,  0.72775537307303506      ,  -32542.437460033991     
   1.0559329392972249E-002 ,  0.70641560191610397      ,  0.58846632365637586      ,   1.0559329392972249E-002 ,  0.70641560191610397      ,  -32542.411533676343     
   1.0424492036062586E-002 ,  0.75859177786336573      ,  0.53553643852976063      ,   1.0424492036062586E-002 ,  0.75859177786336573      ,  -32542.464463561471     
   1.0253977109966884E-002 ,  0.72436689998589299      ,  0.57112072301398986      ,   1.0253977109966884E-002 ,  0.72436689998589299      ,  -32542.428879276988     
   1.0409284755585922E-002 ,  0.68837222659672836      ,  0.61051050250703054      ,   1.0409284755585922E-002 ,  0.68837222659672836      ,  -32542.389489497495     
   1.0090123781773791E-002 ,  0.69072843718716037      ,  0.61197269323117298      ,   1.0090123781773791E-002 ,  0.69072843718716037      ,  -32542.388027306770     
   9.5578315115668524E-003 ,  0.71106763883309121      ,  0.60273477105470419      ,   9.5578315115668524E-003 ,  0.71106763883309121      ,  -32542.397265228945     
   1.0086819720278280E-002 ,  0.68369981697882587      ,  0.62480098720014543      ,   1.0086819720278280E-002 ,  0.68369981697882587      ,  -32542.375199012800     
   9.3206733141654695E-003 ,  0.67009894675411208      ,  0.64731245230863899      ,   9.3206733141654695E-003 ,  0.67009894675411208      ,  -32542.352687547693     
   1.0153868895031726E-002 ,  0.68859823143808807      ,  0.62257411441231214      ,   1.0153868895031726E-002 ,  0.68859823143808807      ,  -32542.377425885588     
   1.0410368592402174E-002 ,  0.66920529318366395      ,  0.64467549598724116      ,   1.0410368592402174E-002 ,  0.66920529318366395      ,  -32542.355324504013     
   1.0086395573380789E-002 ,  0.72109710988278319      ,  0.57217231876184793      ,   1.0086395573380789E-002 ,  0.72109710988278319      ,  -32542.427827681237     
   9.7798779380701573E-003 ,  0.68876702312077709      ,  0.62109129740359537      ,   9.7798779380701573E-003 ,  0.68876702312077709      ,  -32542.378908702598     
   1.0138354072311572E-002 ,  0.69271897081108313      ,  0.59015869423610035      ,   1.0138354072311572E-002 ,  0.69271897081108313      ,  -32542.409841305765     
   1.0478032314504967E-002 ,  0.70468556331608612      ,  0.58377965455256420      ,   1.0478032314504967E-002 ,  0.70468556331608612      ,  -32542.416220345447     
   1.0294513240077990E-002 ,  0.69653554944267393      ,  0.61432280431914177      ,   1.0294513240077990E-002 ,  0.69653554944267393      ,  -32542.385677195682     
   1.0031143270133913E-002 ,  0.71095127463558305      ,  0.58542355380152966      ,   1.0031143270133913E-002 ,  0.71095127463558305      ,  -32542.414576446197     
   1.0104753202051366E-002 ,  0.66538431053730140      ,  0.65830961820345568      ,   1.0104753202051366E-002 ,  0.66538431053730140      ,  -32542.341690381796     
   1.0337854456005876E-002 ,  0.69621018182487493      ,  0.62730447143432844      ,   1.0337854456005876E-002 ,  0.69621018182487493      ,  -32542.372695528567     
   1.0041607692411355E-002 ,  0.69561036513443653      ,  0.63150137050869770      ,   1.0041607692411355E-002 ,  0.69561036513443653      ,  -32542.368498629490     
   9.7521882405255337E-003 ,  0.68965215425494830      ,  0.60394002187781592      ,   9.7521882405255337E-003 ,  0.68965215425494830      ,  -32542.396059978124     
   1.0063397666859280E-002 ,  0.70119330249961442      ,  0.58743402933290612      ,   1.0063397666859280E-002 ,  0.70119330249961442      ,  -32542.412565970666     
   9.7367683861019055E-003 ,  0.72267493934514426      ,  0.57316735330020152      ,   9.7367683861019055E-003 ,  0.72267493934514426      ,  -32542.426832646699     
   9.9984832524342444E-003 ,  0.67827420059332111      ,  0.63850988562571043      ,   9.9984832524342444E-003 ,  0.67827420059332111      ,  -32542.361490114374     
   9.9117865266971830E-003 ,  0.70841140578665862      ,  0.60122436003719437      ,   9.9117865266971830E-003 ,  0.70841140578665862      ,  -32542.398775639962     
   9.8342983855712815E-003 ,  0.71402815841615142      ,  0.60174717140591705      ,   9.8342983855712815E-003 ,  0.71402815841615142      ,  -32542.398252828592     
   1.0159739672189144E-002 ,  0.70594083249031014      ,  0.61023444896469026      ,   1.0159739672189144E-002 ,  0.70594083249031014      ,  -32542.389765551034     
   1.0157484130827859E-002 ,  0.69732990280360707      ,  0.60253740533373790      ,   1.0157484130827859E-002 ,  0.69732990280360707      ,  -32542.397462594665     
   1.0096119214460006E-002 ,  0.69707669164888908      ,  0.59554527775331179      ,   1.0096119214460006E-002 ,  0.69707669164888908      ,  -32542.404454722247     
