 sigma_hat,alpha_hat,m_hat,sigma_hatError,alpha_hatError,m_hatError                                  
   1.1287645840536192E-002 ,   2.4989915216017042      ,   13.200999336175148      ,   1.1287645840536192E-002 ,   2.4989915216017042      ,  -32505.799000663825     
   1.1522022322353812E-002 ,   2.5122699531652404      ,   14.524276139989988      ,   1.1522022322353812E-002 ,   2.5122699531652404      ,  -32504.475723860010     
   1.1399941497380045E-002 ,   2.4863294774346945      ,   14.086178285553512      ,   1.1399941497380045E-002 ,   2.4863294774346945      ,  -32504.913821714446     
   1.1501530979117757E-002 ,   2.5018463941971687      ,   14.133651631866137      ,   1.1501530979117757E-002 ,   2.5018463941971687      ,  -32504.866348368134     
   1.1457094036485383E-002 ,   2.5126216460322861      ,   13.449122269640934      ,   1.1457094036485383E-002 ,   2.5126216460322861      ,  -32505.550877730358     
   1.1332270240654970E-002 ,   2.4928988977408140      ,   13.603944180685197      ,   1.1332270240654970E-002 ,   2.4928988977408140      ,  -32505.396055819314     
   1.1546645514982105E-002 ,   2.4899349102000006      ,   13.604240381435915      ,   1.1546645514982105E-002 ,   2.4899349102000006      ,  -32505.395759618565     
   1.1574820862092087E-002 ,   2.5094381081188066      ,   14.678766705826538      ,   1.1574820862092087E-002 ,   2.5094381081188066      ,  -32504.321233294173     
   1.1517736493657301E-002 ,   2.5087275460902538      ,   13.693175195911158      ,   1.1517736493657301E-002 ,   2.5087275460902538      ,  -32505.306824804087     
   1.1433991754850169E-002 ,   2.5071952581671590      ,   13.296596364982031      ,   1.1433991754850169E-002 ,   2.5071952581671590      ,  -32505.703403635020     
   1.1458025801783570E-002 ,   2.4997529480659373      ,   13.462109942776996      ,   1.1458025801783570E-002 ,   2.4997529480659373      ,  -32505.537890057221     
   1.1529432349619766E-002 ,   2.5049338853007641      ,   13.308011858620839      ,   1.1529432349619766E-002 ,   2.5049338853007641      ,  -32505.691988141378     
   1.1477395223137206E-002 ,   2.5089949148507253      ,   13.804403629794441      ,   1.1477395223137206E-002 ,   2.5089949148507253      ,  -32505.195596370206     
   1.1522272725883407E-002 ,   2.4982119171568766      ,   12.871865403893384      ,   1.1522272725883407E-002 ,   2.4982119171568766      ,  -32506.128134596107     
   1.1450715898433800E-002 ,   2.5039139015324192      ,   14.014370776047402      ,   1.1450715898433800E-002 ,   2.5039139015324192      ,  -32504.985629223953     
