 sigma_hat,alpha_hat,m_hat,sigma_hatError,alpha_hatError,m_hatError                                  
   4.8900521656541622E-002 ,  0.99645414049755199      ,   2.2139093062425563      ,   4.8900521656541622E-002 ,  0.99645414049755199      ,  -32663.786090693757     
   4.5751201617061490E-002 ,   1.0168955511851856      ,   1.8717667460494756      ,   4.5751201617061490E-002 ,   1.0168955511851856      ,  -32664.128233253952     
   4.7147253815525494E-002 ,  0.98207553064009168      ,   2.0849514758170642      ,   4.7147253815525494E-002 ,  0.98207553064009168      ,  -32663.915048524184     
   4.7465418330822101E-002 ,  0.99999958711053927      ,   1.7223961840818924      ,   4.7465418330822101E-002 ,  0.99999958711053927      ,  -32664.277603815917     
   4.8049768289723294E-002 ,  0.99291416268771926      ,   1.7563859246848936      ,   4.8049768289723294E-002 ,  0.99291416268771926      ,  -32664.243614075316     
   4.8232231418723480E-002 ,   1.0621004451201428      ,   1.6294082714146965      ,   4.8232231418723480E-002 ,   1.0621004451201428      ,  -32664.370591728584     
   4.6267702861197503E-002 ,   1.0472237712049448      ,   1.7817293959328533      ,   4.6267702861197503E-002 ,   1.0472237712049448      ,  -32664.218270604066     
   4.8469075964565081E-002 ,   1.0517785486594162      ,   1.6540868599966463      ,   4.8469075964565081E-002 ,   1.0517785486594162      ,  -32664.345913140005     
   4.7488922923220156E-002 ,  0.96219235101096456      ,   2.4655601703225969      ,   4.7488922923220156E-002 ,  0.96219235101096456      ,  -32663.534439829677     
   4.6930075209446524E-002 ,  0.96532212235084036      ,   2.1408091590109946      ,   4.6930075209446524E-002 ,  0.96532212235084036      ,  -32663.859190840991     
   4.7585668658993580E-002 ,  0.97962716907145309      ,   2.7834439206383332      ,   4.7585668658993580E-002 ,  0.97962716907145309      ,  -32663.216556079362     
   4.8554783782272633E-002 ,  0.98205970521340114      ,   1.9194594844219210      ,   4.8554783782272633E-002 ,  0.98205970521340114      ,  -32664.080540515577     
   4.7670016155657108E-002 ,   1.0459740154384991      ,   2.2350201549414415      ,   4.7670016155657108E-002 ,   1.0459740154384991      ,  -32663.764979845058     
   4.7401582029058198E-002 ,   1.0120001294444154      ,   2.0225360388594500      ,   4.7401582029058198E-002 ,   1.0120001294444154      ,  -32663.977463961142     
   4.6336751573001010E-002 ,  0.93883480187492041      ,   2.2388134704854710      ,   4.6336751573001010E-002 ,  0.93883480187492041      ,  -32663.761186529515     
   4.7076210384782748E-002 ,   1.0390472385894720      ,   1.6604462037073775      ,   4.7076210384782748E-002 ,   1.0390472385894720      ,  -32664.339553796293     
